"특성별",2022,2022,2022,2022,2022
"특성별",전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원)
"전체",259538,119055,70832,69651,66886
"대도시",116380,52300,31291,32789,31218
"서울",57709,25316,14905,17489,16657
"광역시",58671,26985,16386,15301,14561
"대도시 이외",143158,66755,39541,36861,35668
"중소도시",113730,51538,31987,30205,29311
"읍면지역",29427,15217,7554,6656,6357
"과목: 일반교과 사교육",195936,74849,61946,59141,57629
"국어",21577,7082,4682,9813,9636
"영어",77943,34525,24689,18729,18184
"수학",73246,22585,26357,24304,23750
"사회, 과학",11360,2989,3504,4867,4811
"논술",8236,5398,1996,842,782
"제2외국어, 한문, 컴퓨터 등",3575,2271,718,587,465
"컴퓨터",1536,914,340,282,197
"제2외국어, 한문 등",2039,1357,378,305,268
"과목: 예체능, 취미·교양 사교육",61975,43973,8695,9307,8376
"음악",19140,14404,2005,2731,2577
"미술",10879,6382,1361,3136,2922
"체육",26987,20832,4261,1894,1619
"취미·교양",4969,2355,1068,1546,1257
"과목: 취업관련 사교육",736,-,-,736,431
"과목: 진로·진학 학습상담",890,233,191,466,450
"유형: 일반교과 사교육",195936,74849,61946,59141,57629
"개인과외",24602,5957,8005,10641,10198
"그룹과외",14698,6131,4866,3700,3626
"학원수강",139755,50845,46155,42755,41851
"방문학습지",7253,6418,770,66,53
"유료인터넷 및 통신강좌 등",9628,5498,2151,1979,1901
"유형: 예체능, 취미·교양 사교육",61975,43973,8695,9307,8376
"개인과외",8027,3808,1749,2470,2317
"그룹과외",3584,2354,827,404,342
"학원수강",48273,36267,5782,6225,5554
"방문수업 및 기타",2091,1544,338,209,162
